old_url,page_type,proposed_new_url,redirect_target,redirect_type,confidence,notes
https://parkingyou.nl/nl,home,/,/,301,high,Language-prefixed home. New site is Dutch at the root.
https://parkingyou.nl/en,home,/,/,301,open,Blocked on the Dutch-only decision. See docs/IA.md open question 1.
https://parkingyou.nl/nl/parkeren,search,/locaties,/locaties,301,high,Old booking search entry point.
https://parkingyou.nl/nl/parkeren/location=7/city=3,search-params,,/locaties,301,high,Search state encoded as path segments. Collapse the whole pattern with one wildcard rule.
https://parkingyou.nl/nl/parkeren/book-only=1,booking-cta,,/locaties,301,high,Primary Direct reserveren CTA in header and mobile menu. Highest-intent URL on the site. Confirmed from rendered HTML.
https://parkingyou.nl/nl/locaties,locations-overview,/locaties,/locaties,301,high,
https://parkingyou.nl/nl/locaties/amsterdam,city,/parkeren/amsterdam,/parkeren/amsterdam,301,high,City page without the cid suffix. Duplicate of the cid variant below.
https://parkingyou.nl/nl/locaties/amsterdam/cid=1,city,/parkeren/amsterdam,/parkeren/amsterdam,301,high,Canonical-looking city URL in the index. cid=1 is Amsterdam.
https://parkingyou.nl/nl/locaties/eindhoven/cid=3,city,/parkeren/eindhoven,/parkeren/eindhoven,301,high,cid=3 is Eindhoven.
https://parkingyou.nl/nl/locaties/rotterdam/cid=5,city,/parkeren/rotterdam,/parkeren/rotterdam,301,high,cid=5 is Rotterdam.
https://parkingyou.nl/nl/locaties/tilburg/cid=7,city,/parkeren/tilburg,/parkeren/tilburg,301,high,cid=7 is Tilburg.
https://parkingyou.nl/nl/locaties/regio-zuid-holland/cid=9,region,/parkeren/regio-zuid-holland,/parkeren/regio-zuid-holland,301,medium,Region rather than city. Covers Ypenburg Rijswijk Schiedam. See IA open question 2.
https://parkingyou.nl/nl/locaties/utrecht/cid=15,city,/parkeren/utrecht,/parkeren/utrecht,301,high,cid=15 is Utrecht.
https://parkingyou.nl/nl/locaties/zoetermeer/cid=19,city,/parkeren/zoetermeer,/parkeren/zoetermeer,301,high,cid=19 is Zoetermeer. Seven locations.
https://parkingyou.nl/nl/locaties/regio-gelderland/cid=13,region,/parkeren/regio-gelderland,/parkeren/regio-gelderland,301,high,cid=13 confirmed from the site footer.
https://parkingyou.nl/nl/locaties/den-haag/cid=11,city,/parkeren/den-haag,/parkeren/den-haag,301,high,cid=11. Confirmed from the site footer. Missed by the index-derived inventory.
https://parkingyou.nl/nl/locaties/heerhugowaard/cid=17,city,/parkeren/heerhugowaard,/parkeren/heerhugowaard,301,high,cid=17. Confirmed from the site footer. Missed by the index-derived inventory.
https://parkingyou.nl/nl/locaties/almere/cid=21,city,/parkeren/almere,/parkeren/almere,301,high,cid=21. Confirmed from the site footer. Missed by the index-derived inventory.
https://parkingyou.nl/nl/locaties/parkeren-eindhoven,city-alias,,/parkeren/eindhoven,301,high,Second slug for the same city. Splits authority with /locaties/eindhoven. Must 301 not canonical.
https://parkingyou.nl/nl/locaties/amsterdam/parking-plantage/id=35,location,/parkeren/amsterdam/plantage,/parkeren/amsterdam/plantage,301,high,Aeroparker or CMS id 35 in the path.
https://parkingyou.nl/nl/locaties/amsterdam/parking-cruquius/id=27,location,/parkeren/amsterdam/cruquius,/parkeren/amsterdam/cruquius,301,high,
https://parkingyou.nl/nl/locaties/amsterdam/parking-zeeburgerkade/id=45,location,/parkeren/amsterdam/zeeburgerkade,/parkeren/amsterdam/zeeburgerkade,301,high,
https://parkingyou.nl/nl/locaties/amsterdam/parking-bos-en-lommerplantsoen/id=21,location,/parkeren/amsterdam/bos-en-lommerplantsoen,/parkeren/amsterdam/bos-en-lommerplantsoen,301,high,
https://parkingyou.nl/nl/locaties/amsterdam/parking-b-amsterdam-b1/id=23,location,/parkeren/amsterdam/b-amsterdam-b1,/parkeren/amsterdam/b-amsterdam-b1,301,high,
https://parkingyou.nl/nl/locaties/amsterdam/amsterdam-parking-b2/id=67,location,/parkeren/amsterdam/b-amsterdam-b2,/parkeren/amsterdam/b-amsterdam-b2,301,high,
https://parkingyou.nl/nl/locaties/amsterdam-parking-b2/id=67,location-malformed,,/parkeren/amsterdam/b-amsterdam-b2,301,high,Same page reachable without the city segment. Duplicate content.
https://parkingyou.nl/nl/locaties/amsterdam/parking-delflandplein/id=65,location,/parkeren/amsterdam/delflandplein,/parkeren/amsterdam/delflandplein,301,high,
https://parkingyou.nl/nl/locaties/eindhoven/parking-dll-garage-centrum/id=5,location,/parkeren/eindhoven/dll-garage,/parkeren/eindhoven/dll-garage,301,high,
https://parkingyou.nl/nl/locaties/eindhoven/parking-dll-parkeerdek-centrum/id=101,location,/parkeren/eindhoven/dll-parkeerdek,/parkeren/eindhoven/dll-parkeerdek,301,high,
https://parkingyou.nl/nl/locaties/eindhoven/parking-onyx/id=25,location,/parkeren/eindhoven/victoriapark,/parkeren/eindhoven/victoriapark,301,medium,Slug says onyx but the page title says Victoriapark. Confirm the current trading name before freezing the slug.
https://parkingyou.nl/nl/locaties/eindhoven/parking-evoluon/id=103,location,/parkeren/eindhoven/evoluon,/parkeren/eindhoven/evoluon,301,high,
https://parkingyou.nl/nl/locaties/eindhoven/parking-hoog-stratum/id=97,location,/parkeren/eindhoven/hoog-stratum,/parkeren/eindhoven/hoog-stratum,301,high,
https://parkingyou.nl/nl/locaties/eindhoven/parking-philips-bedrijfsschool/id=31,location,/parkeren/eindhoven/philips-bedrijfsschool,/parkeren/eindhoven/philips-bedrijfsschool,301,high,Title still shows the voordeligparkeren.nl brand.
https://parkingyou.nl/nl/locaties/parkeren-eindhoven/parking-stadskantoor/id=37,location,/parkeren/eindhoven/stadskantoor,/parkeren/eindhoven/stadskantoor,301,high,Reached through the alias city slug.
https://parkingyou.nl/nl/locaties/parkeren-eindhoven/parking-td-gebouw/id=17,location,/parkeren/eindhoven/td-gebouw,/parkeren/eindhoven/td-gebouw,301,high,Reached through the alias city slug.
https://parkingyou.nl/nl/locaties/rotterdam/parking-shopping-center/id=1,location,/parkeren/rotterdam/alexandrium,/parkeren/rotterdam/alexandrium,301,medium,Generic slug. Confirm the trading name.
https://parkingyou.nl/nl/locaties/rotterdam/parking-hofplein/id=9,location,/parkeren/rotterdam/hofplein,/parkeren/rotterdam/hofplein,301,high,
https://parkingyou.nl/nl/locaties/rotterdam/parking-europoint/id=11,location,/parkeren/rotterdam/europoint,/parkeren/rotterdam/europoint,301,high,
https://parkingyou.nl/locaties/parking-spoorzone-p1-tilburg/id=3,location-malformed,,/parkeren/tilburg/spoorzone-p1,301,high,No language prefix and no city segment. Proves the old CMS emits several shapes for one page.
https://parkingyou.nl/nl/locaties/regio-zuid-holland/parking-at-the-park/id=53,location,/parkeren/regio-zuid-holland/at-the-park,/parkeren/regio-zuid-holland/at-the-park,301,high,Kessler Park Rijswijk.
https://parkingyou.nl/nl/locaties/regio-gelderland/parking-lentse-plas/id=59,location,/parkeren/regio-gelderland/lentse-plas,/parkeren/regio-gelderland/lentse-plas,301,high,
